Meanings,J Translation,English Definition,pronunciation,POS
screen,画面，上映する；検査する；選抜する；隠す,"flat surface on a computer, or tv that shows images",skrin,名詞(n.)
seal,封印する；密封する,To make something so that it does not leak air or water,sil,動詞(verb)
search,捜す，捜索,To carefully look for something,sɜrʧ,動詞(verb)
season,季節,One of the four parts of the year determined mainly by the weather during that time,ˈsizən,名詞(n.)
secret,秘密の,that you don't want others to know; private,ˈsikrət,形容詞(adj.)
section,部分；区間,One of the parts that form something,ˈsɛkʃən,名詞(n.)
seed,種子,small object from which something new can grow,sid,名詞(n.)
seek,探し求める,To search for; to try to find; look for,sik,動詞(verb)
select,選択する，厳選した,"To choose from a group, something most suitable",səˈlɛkt,動詞(verb)
selection,選択,process of choosing someone or something carefully,səˈlɛkʃən,名詞(n.)
senior,年長者；先輩；高齢者,Having higher status or authority than another person,ˈsinjər,形容詞(adj.)
sentence,文,set of spoken or written words that make a whole statement,ˈsɛntəns,名詞(n.)
separate,離す；分ける，分かれた,"to divide into parts, or to make something divide into parts",ˈsɛprət,形容詞(adj.)
September,9月,9th month of the year,sɛpˈtɛmbər,名詞(n.)
series,連続,number of things that happen one after another,ˈsɪriz,名詞(n.) 複数形(pl.)
shade,日陰,area of darkness when something blocks the light,ʃeɪd,名詞(n.)
shadow,影,dark shape that appears when something is against the; of light,ˈʃæˌdoʊ,名詞(n.)
sharp,鋭い；とがった,Having a thin edge or point that is able to cut,ʃɑrp,形容詞(adj.)
sheep,羊,animal with a woolly coat raised for meat or wool,ʃip,名詞(n.)
sheet,枚；用紙；シート,"large piece of fabric or material that is used to cover something, often a bed",ʃit,名詞(n.)
shelf,棚,flat board attached to a wall on which to store things,ʃɛlf,名詞(n.)
shell,貝殻,hard outer covering that protects,ʃɛl,名詞(n.)
shelter,避難所；保護施設,structure that covers or protects things,ˈʃɛltər,名詞(n.)
shift,替える，交代,To change in position or direction,ʃɪft,動詞(verb)
shock,ぎょっとさせる，激突；ショック,sudden bad feeling caused by something unexpected,ʃɑk,名詞(n.)
shore,岸,land along the edge of an area of water,ʃɔr,名詞(n.)
shower,シャワーを浴びる；浴びせる；たくさん与える,process of cleaning your body by standing under falling water,ˈʃaʊər,名詞(n.)
signal,信号，合図する；示す，際立った,"move a hand, or other thing to tell people to do something.",ˈsɪgnəl,形容詞(adj.)
silence,静けさ,No sound or noise,ˈsaɪləns,名詞(n.)
silver,銀,near white color metal with high value and the symbol ‘ag’,ˈsɪlvər,名詞(n.)
similar,よく似た,Nearly the same,ˈsɪmələr,形容詞(adj.)
similarly,同様に,In away that is almost the same as something or someone else,ˈsɪmələrli,副詞(adv)
sink,流し,large bowl in a kitchen or washroom for washing things,sɪŋk,名詞(n.)
site,ウェブサイト,"present, former or future LOCATION of something, such as a building",saɪt,名詞(n.)
ski,スキー,One of a pair of long flat runners attached to the feet for gliding over snow,ski,名詞(n.)
skill,熟練；技術,ability to do something well,skɪl,名詞(n.)
skirt,スカート,piece of clothing for the lower body worn by women,skɜrt,名詞(n.)
slave,奴隷,Someone who is legally owned by another person,sleɪv,名詞(n.)
slide,滑る；そっと動く；下がる；悪化する，滑ること；滑り台,"To move smoothly and easily, usually over a surface",slaɪd,動詞(verb)
smart,賢い,"Being wise, intelligent or clever",smɑrt,形容詞(adj.)
smooth,なめらかな，なめらかにする,Something that feels pleasant and flat when you touch it not rough,smuð,形容詞(adj.)
snap,ポキッと折る；プツンと切れる；パチンと音を立てる；すばやく動く，パチンという音,To break something long and thin e.g. a branch,snæp,動詞(verb)
social,社会的な,Involving activities among people especially free time activities,ˈsoʊʃəl,形容詞(adj.)
society,社会,community of people living together,səˈsaɪəti,名詞(n.)
soil,土壌,mix of sand and other natural material on the surface of the earth that is used to grow plants,sɔɪl,名詞(n.)
soldier,兵士,person who is in the military,ˈsoʊlʤər,名詞(n.)
solid,固体の；堅実な,Firm or hard ; not a gas or liquid,ˈsɑləd,形容詞(adj.)
somewhat,いくぶん,"little, not very",ˈsʌmˈwʌt,副詞(adv)
soul,魂,spiritual part of a person,soʊl,名詞(n.)
southern,南部の,Having to do with a region in the south,ˈsʌðərn,形容詞(adj.)
spare,予備；スペア,Being extra; available to be used or borrowed,spɛr,形容詞(adj.)
species,種,most specific level in the scientific tree,ˈspiʃiz,名詞(n.) 複数形(pl.)
specific,明確な；特定の；具体的な；特有の,Special or particular; clearly presented or stated,spəˈsɪfɪk,形容詞(adj.)
specifically,特に,In a well defined or clear manner; in particular,spəˈsɪfɪkli,副詞(adv)
speech,話；スピーチ,expression of ideas or opinions,spiʧ,名詞(n.)
speed,速さ，急ぐ；加速する,quality of being fast or quick,spid,名詞(n.)
spell,つづり；スペル，つづる,"to be able to say, write, or print the letters that make up a word",spɛl,動詞(verb)
spin,回転する,To turn around repeatedly,spɪn,動詞(verb)
spirit,精神；気分；気力,part of a person that is not physical and believed to be the source of human emotions and character,ˈspɪrət,名詞(n.)
split,割る；裂く，分割；対立,To break something into pieces or divide someting,splɪt,動詞(verb)
spread,広げる，広がり,To place something over or cover a large area,sprɛd,動詞(verb)
stability,安定,quality or state of not being easily moved or changed,stəˈbɪlɪti,名詞(n.)
stable,安定した,In a good situation or condition not likely changed,ˈsteɪbəl,形容詞(adj.)
staff,職員，職員を配置する,employees of a company,stæf,名詞(n.)
stair,階段,Steps that go from one level to another,stɛr,名詞(n.)
stamp,切手,small piece of paper you buy to put on a letter that you mail,stæmp,名詞(n.)
standard,標準，標準の,accepted level of quality; an official measurement,ˈstændərd,形容詞(adj.)
steady,安定した,"Firmly fixed, supported or balanced; not shaking, rocking or likely to fall over",ˈstɛdi,形容詞(adj.)
steel,鋼,very strong metal made of iron and other substances mixed together,stil,名詞(n.)
stir,かき混ぜる,To mix something by making circular movements in it,stɜr,動詞(verb)
stock,在庫；蓄え，仕入れる；満たす,"piece of a business, bought in the form of shares",stɑk,名詞(n.)
stomach,胃,place in the body where food is digested,ˈstʌmək,名詞(n.)
storm,嵐,"Weather with a lot of rain, snow and strong winds",stɔrm,名詞(n.)
stream,流れる,small river,strim,名詞(n.)
strength,力；強さ,Being strong,strɛŋkθ,名詞(n.)
strengthen,強化する,To make something stronger,ˈstrɛŋθən,動詞(verb)
stress,ストレスを感じる,To be in a state of mental tension due to problems,strɛs,動詞(verb)
stretch,伸ばす,To make something bigger by pulling on it,strɛʧ,動詞(verb)
string,糸；ひも,Thick thread; thin rope,strɪŋ,名詞(n.)
strip,細長い路,To take something away from (someone),strɪp,動詞(verb)
stroke,なでる,To touch someone or something repeatedly in a caring way,stroʊk,動詞(verb)
struggle,もがく；奮闘する,to try very hard to do something difficult,ˈstrʌgəl,動詞(verb)
style,様式,the (tasteful) way something is designed or made,staɪl,名詞(n.)
success,成功,achievement of a desired purpose or goal,səkˈsɛs,名詞(n.)
successful,成功した,Having the desired effect or result,səkˈsɛsfəl,形容詞(adj.)
successfully,成功するかたちで,In a manner that achieves a goal,səkˈsɛsfəli,副詞(adv)
suffer,苦しむ；耐える,"To experience pain, illness, or injury",ˈsʌfər,動詞(verb)
sugar,砂糖,white sweet substance used to make foods sweeter,ˈʃʊgər,名詞(n.)
supplier,供給者,organization that provides a product or service,səˈplaɪər,名詞(n.)
supply,供給する,To give or sell goods to others for their use,səˈplaɪ,動詞(verb)
surround,囲む,To be on every side of something,səˈraʊnd,動詞(verb)
survival,生き残り,act of continuing to exist when facing difficulty,sərˈvaɪvəl,名詞(n.)
survive,耐える；生き残る,to continue to live despite illness or trouble,sərˈvaɪv,動詞(verb)
suspect,疑う,To doubt or lack trust,ˈsʌˌspɛkt,動詞(verb)
swear,誓う,To make a serious promise to do something,swɛr,動詞(verb)
sweep,掃く,To remove something from a surface with a brush,swip,動詞(verb)
swing,ブランコ,"outdoor seat that hangs by two ropes, often from a tree",swɪŋ,名詞(n.)
switch,スイッチ,thing you move to turn electrical items on or off,swɪʧ,名詞(n.)
tale,物語,story about colorful and imaginary events,teɪl,名詞(n.)
tank,タンク,container for holding liquid or gas,tæŋk,名詞(n.)
tap,軽くたたく；コツコツと音を立てる,to hit something lightly,tæp,動詞(verb)
taxi,タクシー,car that transports people for money,ˈtæksi,名詞(n.)
technology,科学技術,"use or knowledge of science in industry, engineering etc",tɛkˈnɑləʤi,名詞(n.)
teenager,ティーンエイジャー；１０代の若者,person between the ages of 13 and 19,ˈtiˌneɪʤər,名詞(n.)
tension,ピンと張ること；緊張,feeling of anxiety and inability to relax,ˈtɛnʃən,名詞(n.)
tent,テント,portable cloth shelter used outdoors,tɛnt,名詞(n.)
theater,劇場,place where shows are performed on a stage,ˈθiətər,名詞(n.)
therefore,それゆえに,For that reason,ˈðɛrˌfɔr,副詞(adv)
thin,薄い；細い,not thick; not wide in size,θɪn,形容詞(adj.)
threat,脅し,Warning of probable trouble,θrɛt,名詞(n.)
threaten,脅かす,To say you will harm or hurt someone,ˈθrɛtən,動詞(verb)
thus,このように；したがって,therefore; so; as a result,ðʌs,副詞(adv)
ticket,切符；チケット,piece of paper that lets you enter or use something,ˈtɪkət,名詞(n.)
tiny,とても小さい,"very, very small",ˈtaɪni,形容詞(adj.)
tip,内密情報；ヒント，内報する；予想する,hint or clue,tɪp,名詞(n.)
title,称号,name given to something to identify or describe it,ˈtaɪtəl,名詞(n.)
tone,口調、調子,sound of a voice that reveals emotion or meaning,toʊn,名詞(n.)
tongue,舌,part of the body that tastes food; it is pink or red and is inside the mouth,tʌŋ,名詞(n.)
tool,道具,"device used to make things, e.g. a hammer or driver",tul,名詞(n.)
topic,話題；トピック,matter people talk or write about,ˈtɑpɪk,名詞(n.)
tough,丈夫な；骨の折れる,Very difficult to do or deal with,tʌf,形容詞(adj.)
tour,旅行,a journey to visit several places for pleasure,tʊr,名詞(n.)
tourism,観光,"traveling to new places, e.g. abroad, for vacations",ˈtʊˌrɪzəm,名詞(n.)
tourist,観光客,Someone who travels to a place for pleasure,ˈtʊrəst,名詞(n.)
tower,塔；タワー,"tall, narrow building",ˈtaʊər,名詞(n.)
trace,跡，跡を追う；探し出す,"To find, describe or discover by investigation",treɪs,動詞(verb)
trade,取引する,"To buy, sell and exchange goods in business",treɪd,動詞(verb)
tradition,伝統,"way of thinking, behaving that used for a long time",trəˈdɪʃən,名詞(n.)
traditional,伝統的な,Involved in a tradition,trəˈdɪʃənəl,形容詞(adj.)
traffic,交通,amount of activity over a communication system,ˈtræfɪk,名詞(n.)
transfer,移動する；転送する,To move something from one place to another,ˈtrænsfər,動詞(verb)
trap,わな，わなで捕える,device used for catching animals,træp,名詞(n.)
trial,裁判；審理,Concerning or used in a TRIAL,ˈtraɪəl,名詞(n.)
trick,いたずら；ごまかし，だます,To make someone think something that is not true,trɪk,動詞(verb)
truck,トラック,automotive vehicle suitable for hauling,trʌk,名詞(n.)
tune,曲；音調,group of musical notes that make a nice sound,tun,名詞(n.)
twin,双子,Two children born from same mother at same time,twɪn,名詞(n.)
twist,ねじる，ねじれ,To turn something in opposite directions at the same time,twɪst,動詞(verb)
typical,典型的な,normal; usual; expected,ˈtɪpəkəl,形容詞(adj.)
typically,典型的に,in a normal or usual way,ˈtɪpɪkli,副詞(adv)
union,結合；組合；連合,organization of workers to look after their needs,ˈjunjən,名詞(n.)
unit,単位；部署,single thing or person; a part of something larger,ˈjunət,名詞(n.)
unite,団結する；結合する,To join or come together for the same goal,ˈjuˌnaɪt,動詞(verb)
